City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Old Saybrook,US,79.0,clear sky,41.2918,-72.3762,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
613,Kondagaon,IN,81.77,overcast clouds,19.6,81.6667,AYAN MOTER
618,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
620,Beboto,TD,82.31,overcast clouds,8.2668,16.939,0
621,Kismayo,SO,78.66,few clouds,-0.3582,42.5454,Agan-Hotel
622,Abha,SA,84.45,clear sky,18.2164,42.5053,Abha Hotel
623,Mangrol,IN,85.28,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
625,Santa Cruz,BO,78.85,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
626,Mahates,CO,80.49,overcast clouds,10.2329,-75.1899,Hotel La Embajada
631,Stuttgart,DE,78.4,clear sky,48.7823,9.177,Hotel Unger
634,Ocos,GT,80.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
637,Buala,SB,79.38,light rain,-8.145,159.5921,Maringe Lagoon Lodge
638,Macau,MO,78.6,few clouds,22.2006,113.5461,Grand Emperor Hotel
642,Kutum,SD,88.47,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
646,Pombas,CV,78.58,few clouds,17.1503,-25.0201,Paul Paradis
648,Finschhafen,PG,78.75,broken clouds,-6.6024,147.8681,Cossam Guest House
654,Trincomalee,LK,77.68,overcast clouds,8.5711,81.2335,Welcombe Hotel
655,Sinnamary,GF,82.31,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
661,Varkkallai,IN,83.98,light rain,8.7341,76.7067,Hindustan Beach Retreat
666,Pauini,BR,83.3,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
669,El Coyote,MX,82.42,broken clouds,25.7,-103.2667,Residencial La Acienda (Tino)
670,Mathbaria,BD,83.43,overcast clouds,22.2876,89.9593,Shikdar Hotel
671,Birjand,IR,86.47,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
673,Pafos,CY,76.78,few clouds,34.7667,32.4167,Elysium Hotel
681,Rondonopolis,BR,86.47,broken clouds,-16.4708,-54.6356,Serras Hotel
682,Dong Hoi,VN,79.39,heavy intensity rain,17.4833,106.6,Nam Long Hotel
684,Kashi,CN,83.41,clear sky,39.4547,75.9797,帕米尔青年旅舍
685,Aitape,PG,77.25,scattered clouds,-3.1374,142.3475,0
689,Amahai,ID,77.5,light rain,-3.3333,128.9167,HOTEL ISABELA
691,Tripoli,LY,78.71,clear sky,32.8752,13.1875,Al Waddan Hotel
693,Isabela,PH,78.6,overcast clouds,6.7085,121.9711,Isawad Resort
698,Nioki,CD,83.73,broken clouds,-2.7167,17.6833,0
701,Yamethin,MM,79.3,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
703,Nizwa,OM,85.73,scattered clouds,22.9333,57.5333,Orient Apartments
709,Porto Novo,BJ,85.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
